department,region,education,gender,recruitment_channel,no_of_trainings,age,KPIs_met >60%,awards_won?,avg_training_score
2,22,2,0,3,1,32,0,0,62
3,7,2,1,1,1,56,0,0,73
1,20,2,1,3,1,28,0,0,47
1,33,1,1,1,1,39,0,0,48
2,31,2,1,3,1,31,1,0,59
2,2,1,0,3,1,58,1,0,62
4,7,2,0,3,1,30,0,0,76
1,2,2,0,1,2,31,0,0,45
1,2,2,0,3,1,49,0,0,49
4,2,2,0,1,1,60,0,0,81
1,23,2,1,1,1,33,1,0,50
2,13,1,1,3,1,44,1,0,63
1,22,2,0,1,2,29,0,0,50
7,24,2,1,1,1,32,1,0,53
1,11,2,1,1,2,38,1,0,45
2,22,2,0,1,1,30,1,1,59
5,22,2,1,3,1,25,0,0,80
1,7,2,1,1,1,30,1,0,49
1,2,1,0,1,1,39,0,0,47
1,2,2,1,3,1,30,0,0,45
3,27,2,0,3,1,30,1,0,70
1,11,2,1,1,1,26,0,0,49
1,13,2,1,3,1,34,0,0,49
4,31,1,1,3,1,30,0,0,80
3,21,2,1,3,1,33,1,0,69
4,23,2,0,3,1,31,0,0,78
3,13,2,1,3,1,30,0,0,66
6,22,2,1,1,1,28,0,0,57
2,2,2,0,1,1,55,0,0,56
1,22,1,1,1,1,33,0,0,51
3,11,2,1,3,1,31,0,0,72
3,2,3,0,3,1,22,0,0,67
3,26,2,1,3,1,38,1,0,67
6,22,2,1,3,3,32,1,0,56
3,27,3,0,3,2,23,0,0,74
4,2,2,1,1,1,33,0,0,78
2,22,1,1,3,2,39,0,0,58
1,29,2,1,3,1,26,0,0,49
7,2,1,0,3,1,55,0,0,50
2,22,2,1,3,1,30,0,0,60
4,8,2,1,3,2,32,0,0,79
1,7,1,0,3,1,33,0,0,54
3,34,2,1,3,2,27,0,0,70
3,22,2,1,3,1,29,1,1,71
3,11,2,0,3,1,31,0,0,66
4,33,2,1,1,2,31,0,0,81
2,22,2,0,1,1,27,0,0,61
3,7,2,1,1,4,32,1,0,66
3,23,1,0,3,1,31,0,0,70
5,29,2,1,1,1,27,1,0,84
1,22,2,1,3,2,25,1,0,50
5,31,2,1,3,1,32,1,1,87
1,16,2,1,3,1,34,0,0,54
4,2,2,1,3,1,25,0,0,78
1,3,2,1,3,1,43,0,0,45
2,33,2,1,1,1,27,0,0,55
1,2,2,1,3,1,25,0,0,48
5,22,2,1,2,2,31,0,0,86
5,32,2,1,1,1,30,0,0,90
5,27,2,1,3,1,37,0,0,82
1,2,2,1,3,1,29,1,0,52
1,22,1,1,1,1,27,1,0,52
1,11,2,1,1,1,38,0,0,47
2,12,2,0,3,1,26,0,0,59
1,20,2,1,3,1,28,0,0,48
4,15,2,1,3,1,29,0,0,77
1,7,1,0,3,1,33,1,0,51
1,22,2,1,3,1,27,1,0,52
1,2,2,1,3,1,54,1,0,49
5,4,1,1,3,1,43,1,0,83
3,2,1,0,3,1,54,0,0,70
2,22,2,0,3,1,39,0,0,60
1,13,2,1,3,1,20,0,0,51
5,32,2,1,3,2,29,1,0,82
2,14,1,0,3,1,46,0,0,62
1,31,2,1,3,2,33,0,0,50
4,15,1,1,1,1,40,1,0,76
6,13,1,0,1,1,33,0,0,63
1,21,2,1,1,1,35,0,0,53
3,2,1,1,3,1,53,0,0,71
2,28,2,1,3,1,29,0,0,58
2,11,2,1,3,1,29,1,0,60
4,2,1,0,3,1,46,1,1,73
1,7,2,1,3,1,44,0,0,47
1,4,2,0,1,1,43,1,0,50
2,22,1,0,3,1,29,0,0,58
3,2,1,1,3,1,53,0,0,67
7,2,2,0,1,1,29,0,0,51
4,16,2,0,2,1,26,1,0,80
3,14,2,1,3,1,36,0,0,65
4,28,2,1,3,1,27,1,0,81
7,27,2,1,3,1,36,1,0,48
2,2,2,0,1,1,51,0,0,57
2,2,1,1,1,1,52,0,0,63
4,13,2,1,3,2,31,0,0,78
2,2,2,0,1,1,54,0,0,63
4,13,2,1,1,1,33,1,0,84
6,13,2,1,3,1,33,0,0,59
1,19,2,1,3,2,34,0,0,56
9,22,2,1,3,1,27,1,0,84
1,26,2,1,3,2,25,0,0,47
2,2,1,1,3,2,40,0,0,63
5,16,2,1,1,1,27,0,0,87
2,2,1,0,2,1,43,1,0,64
2,4,1,1,3,1,26,0,0,57
5,19,2,1,1,1,40,0,0,82
3,5,2,0,3,1,30,0,0,68
6,26,2,1,3,1,30,1,0,62
2,27,2,0,1,1,30,1,0,61
6,22,2,1,1,1,29,0,0,58
3,2,1,1,3,2,35,0,0,72
1,16,2,1,1,1,46,0,0,47
2,22,1,1,1,2,40,1,0,62
1,22,2,1,3,1,24,1,0,51
6,21,2,1,3,1,29,0,0,61
3,15,2,0,1,1,38,0,0,69
1,23,2,1,3,1,33,0,0,49
1,2,2,1,3,2,48,0,0,48
5,22,2,0,3,1,29,0,0,80
1,2,2,0,1,2,31,0,0,46
5,22,2,1,3,1,33,0,0,83
8,4,2,1,1,1,27,1,0,62
2,15,2,0,1,1,45,0,0,59
1,15,1,1,3,1,38,1,0,50
1,27,2,1,1,1,29,0,0,52
5,27,2,1,3,1,24,0,0,83
4,25,2,1,3,3,29,0,0,77
5,22,2,1,3,1,32,1,0,86
2,2,1,1,1,1,55,1,0,63
3,22,1,1,3,1,30,1,0,70
2,25,2,1,3,1,30,0,0,53
4,13,2,1,1,1,25,1,0,83
1,31,2,0,3,1,34,0,0,47
2,13,2,1,1,1,31,0,0,58
6,7,2,1,3,1,36,1,0,60
1,1,1,1,1,1,42,0,0,48
4,22,1,0,1,2,34,0,0,76
1,2,2,0,3,1,29,0,0,50
7,2,2,1,3,1,38,0,0,50
4,26,2,1,3,2,29,0,0,85
4,31,2,1,3,2,32,0,0,80
1,12,2,1,3,1,26,1,0,53
3,2,2,0,3,1,27,0,0,69
2,19,2,1,3,1,33,0,0,62
1,15,2,1,3,1,31,0,0,49
2,22,2,1,1,1,31,1,0,58
2,17,2,0,1,1,31,1,0,62
3,24,2,1,3,4,31,0,0,68
1,2,2,0,1,1,54,0,0,51
1,31,2,1,3,1,26,0,0,52
1,13,2,0,3,1,33,1,0,55
7,22,2,1,1,1,28,1,0,48
2,2,1,0,1,1,48,0,0,58
2,7,3,1,3,1,26,1,0,59
7,2,2,0,1,1,29,1,0,49
4,2,2,0,1,1,37,0,0,81
4,20,1,1,3,1,36,1,0,78
4,17,2,0,1,1,31,0,0,79
4,25,1,0,3,1,39,1,0,85
1,11,2,1,1,1,26,0,0,49
2,7,2,0,1,1,39,0,0,56
1,2,1,1,3,2,28,1,1,48
1,28,1,1,1,1,29,0,0,47
2,19,2,1,1,1,37,1,0,62
3,28,2,1,3,1,27,0,0,66
4,31,2,1,1,1,33,0,0,84
1,17,2,1,1,2,38,0,0,57
4,12,2,0,3,2,34,0,0,78
1,2,2,1,1,1,30,1,0,48
5,28,2,1,1,1,28,0,0,86
1,28,2,1,3,1,36,0,0,51
5,22,2,1,3,3,29,0,0,81
1,20,2,1,3,1,29,1,0,46
4,26,2,1,1,1,33,1,0,81
3,26,2,1,3,4,30,0,0,66
3,7,2,0,3,1,28,0,0,71
6,13,2,0,3,1,37,0,0,60
5,25,2,1,3,2,28,0,0,83
1,34,2,1,3,1,32,0,0,45
8,2,2,1,3,1,28,1,0,59
2,20,2,1,3,1,31,0,0,61
2,15,2,1,3,1,35,0,0,59
1,15,1,1,3,1,41,0,0,50
1,11,2,1,3,1,25,0,0,48
2,16,2,1,3,1,36,1,0,64
3,8,1,0,3,1,37,0,0,66
2,22,1,1,1,1,31,1,0,61
5,4,1,1,3,1,33,0,0,82
3,13,2,0,1,1,35,1,0,69
2,8,2,1,3,1,38,1,0,61
4,13,2,0,3,1,32,0,0,81
6,32,2,0,1,1,27,0,0,60
3,23,1,1,1,1,35,0,0,65
3,2,2,1,3,1,52,1,0,66
5,2,2,1,3,1,44,0,0,85
1,28,2,0,1,1,28,0,0,48
4,33,2,1,3,1,29,0,0,79
7,13,2,1,3,1,26,0,0,45
7,2,3,0,1,1,22,0,0,51
3,25,2,1,3,1,30,1,0,68
3,17,2,0,3,1,48,0,0,69
1,34,2,1,1,2,33,0,0,53
6,13,2,1,3,1,34,0,0,60
5,2,2,1,3,1,59,1,0,83
1,20,2,1,3,2,40,0,0,55
2,2,2,0,3,1,35,0,0,58
2,22,1,1,3,2,36,1,0,56
7,2,1,1,1,1,45,0,0,47
7,28,1,1,3,1,38,0,0,49
1,26,2,1,3,1,31,0,0,47
1,17,2,1,3,1,36,1,1,49
1,7,2,0,1,1,29,0,0,48
2,19,1,1,3,1,33,0,0,57
3,2,2,0,3,1,27,0,0,71
4,15,2,1,3,2,36,0,0,78
1,2,2,0,1,1,45,0,0,45
1,22,2,1,1,1,24,0,0,48
5,27,2,1,3,1,40,0,0,86
1,4,2,1,3,3,27,1,0,46
1,14,2,1,1,1,35,1,0,51
1,24,2,1,1,2,34,0,0,53
7,2,2,0,3,1,43,0,0,52
4,5,2,1,1,2,34,0,0,79
1,22,2,1,3,2,29,0,0,49
5,22,2,0,3,2,30,1,0,86
3,7,1,0,1,1,32,0,0,69
1,25,2,1,1,1,29,0,0,49
4,15,2,1,3,3,32,0,0,83
1,16,2,1,1,1,37,0,0,46
1,13,2,1,3,1,46,0,0,54
7,2,1,0,3,1,60,0,0,48
1,30,2,1,3,1,27,0,0,48
5,4,2,1,1,1,31,1,0,84
2,15,2,1,3,1,34,1,0,59
1,7,2,0,1,1,40,0,0,49
1,5,2,1,1,1,41,0,0,50
1,33,2,0,3,2,31,0,0,53
5,2,2,1,3,1,46,1,0,88
3,2,2,0,1,2,44,0,0,71
5,2,2,1,1,1,32,0,0,83
5,1,2,1,1,1,29,0,0,88
4,19,2,1,1,1,40,0,0,81
7,13,2,1,1,1,39,0,0,44
2,8,2,0,3,1,29,0,0,61
1,7,2,1,3,3,28,0,0,47
1,26,2,0,1,1,34,0,0,46
3,15,1,1,2,1,36,0,0,73
1,16,2,1,3,1,53,0,0,48
8,2,2,1,1,1,25,0,0,59
7,6,2,1,1,1,26,0,0,53
4,2,3,1,3,4,21,1,0,79
2,14,2,0,1,1,35,0,0,58
1,30,2,1,1,1,34,0,0,51
5,14,2,1,3,1,33,1,1,79
2,19,2,0,3,1,35,1,0,59
8,22,3,0,3,1,25,1,0,58
7,7,2,1,3,1,37,1,0,48
2,13,1,1,3,1,48,0,0,61
4,26,2,0,3,1,27,0,0,82
1,2,2,1,1,1,48,0,0,53
5,26,2,1,3,1,46,1,0,84
1,7,1,1,3,3,25,0,0,46
5,32,2,1,1,2,27,0,0,87
1,2,1,1,1,2,35,0,0,50
4,8,2,1,1,1,31,1,0,83
1,13,2,1,1,1,23,0,0,51
4,27,2,0,3,1,38,1,0,82
3,22,1,1,3,1,43,1,0,70
4,22,2,1,3,1,31,0,0,81
3,10,2,1,3,1,29,0,0,68
4,5,1,0,1,1,35,0,0,74
6,2,2,0,3,1,36,0,0,56
5,9,1,1,3,1,29,1,0,83
4,16,2,0,1,1,38,0,0,81
2,2,1,0,3,1,40,0,0,63
3,2,1,0,3,1,32,1,0,74
1,22,1,0,3,1,32,1,0,48
1,30,2,1,3,1,33,0,0,53
1,13,2,0,1,1,37,1,0,46
1,2,2,0,1,3,25,0,0,50
6,2,1,1,1,2,36,1,0,58
3,13,1,0,1,1,49,1,0,72
2,7,2,1,1,1,33,0,0,57
1,21,2,0,1,1,30,0,0,52
9,22,2,1,1,1,36,0,0,84
2,22,1,1,3,1,41,1,0,58
6,2,2,1,3,1,45,0,0,63
1,26,2,1,1,1,34,1,0,52
3,8,2,0,3,1,33,0,0,68
1,16,2,1,1,1,30,0,0,50
5,17,2,1,3,1,34,1,0,81
3,2,1,0,1,1,47,1,0,68
3,2,2,1,1,1,32,0,0,69
1,28,1,1,1,2,36,0,0,49
3,7,1,0,3,1,43,1,0,67
4,2,1,1,3,1,39,0,0,79
2,2,1,0,1,2,38,1,0,63
7,2,3,0,1,1,21,0,0,48
4,22,2,0,1,2,30,1,1,75
1,7,2,1,1,1,40,0,0,46
1,28,1,1,3,1,45,1,0,46
5,2,2,1,3,1,46,0,0,84
3,2,2,0,3,1,30,1,0,71
1,2,1,1,1,1,26,0,0,48
1,15,2,1,3,1,37,1,0,46
4,6,2,0,1,1,35,0,0,80
1,28,1,1,1,1,32,1,0,51
7,22,2,0,2,1,29,0,0,47
8,2,2,1,3,1,34,0,0,63
3,24,1,1,1,2,32,1,0,66
1,2,1,1,3,1,31,0,0,46
1,2,2,1,3,3,25,0,0,47
7,32,2,0,1,1,31,1,0,53
6,2,2,0,3,1,46,0,0,56
4,13,1,0,1,3,36,0,0,80
1,13,1,1,1,1,34,1,0,44
5,29,2,1,1,1,36,1,0,88
1,13,2,0,3,1,37,0,0,47
1,7,1,1,3,1,32,1,0,51
1,31,2,1,3,1,40,0,0,49
5,31,1,1,1,1,40,1,0,85
5,13,1,1,3,1,34,0,0,87
4,26,2,1,3,1,32,0,0,76
1,2,2,1,3,1,26,0,0,48
2,2,2,0,3,1,49,1,0,59
2,11,2,0,1,1,28,0,0,55
2,2,2,0,1,1,35,1,0,59
3,2,2,0,1,1,47,0,0,69
5,22,2,1,3,1,35,1,0,81
4,29,2,1,1,1,40,1,0,77
3,12,1,1,3,1,37,0,0,70
5,2,2,1,1,4,40,1,0,84
1,2,2,0,1,1,38,0,0,49
4,2,1,0,1,1,60,0,0,81
2,27,2,0,1,1,34,0,0,61
2,2,1,0,1,1,54,0,0,60
1,29,2,1,1,3,30,0,0,53
3,23,1,0,1,1,34,1,0,70
1,15,2,1,3,2,33,0,0,50
4,7,2,1,3,1,32,0,0,81
4,5,2,1,3,1,38,0,0,81
2,2,1,0,3,2,50,0,0,60
7,13,2,1,1,1,25,1,0,52
3,2,2,0,3,1,38,1,0,73
1,2,1,1,1,1,38,0,0,50
3,2,2,1,3,1,45,1,0,72
5,19,2,1,1,2,25,1,0,84
3,13,2,0,1,1,42,1,0,73
1,2,1,1,3,1,52,1,0,51
1,25,1,1,1,2,38,0,0,48
1,32,1,0,3,1,28,0,0,47
1,27,2,1,3,1,39,1,0,51
3,13,2,1,1,2,34,1,0,70
4,2,2,1,1,1,35,0,0,80
2,15,2,1,3,1,32,0,0,64
5,4,1,1,1,1,41,0,0,79
2,2,1,0,3,1,35,0,0,63
4,22,1,1,3,1,42,0,0,77
1,9,1,1,1,1,33,0,0,49
5,2,2,1,1,1,36,1,0,81
1,20,1,1,1,1,27,1,0,46
2,28,2,0,1,1,30,1,0,56
2,7,3,0,3,1,25,0,0,61
2,22,1,0,2,1,36,1,0,57
1,2,2,0,3,1,35,0,0,50
2,22,1,0,3,1,31,1,0,62
4,27,1,1,3,1,50,1,0,78
6,2,2,1,1,1,47,1,0,56
5,31,2,1,3,1,38,1,0,83
4,7,2,1,2,1,29,1,0,81
2,7,1,0,1,1,36,0,0,57
3,10,1,1,3,1,40,0,0,69
6,7,1,1,3,1,42,0,0,62
5,1,1,1,1,1,32,1,0,85
9,31,2,1,1,1,28,1,0,82
2,13,2,0,1,2,33,0,0,62
2,16,2,0,1,1,30,0,0,57
3,15,1,0,3,1,38,0,0,69
1,31,2,1,3,3,39,0,0,55
1,2,2,0,1,2,43,1,0,47
2,2,2,0,3,1,52,0,0,62
3,11,2,1,1,1,32,0,0,74
1,31,1,0,1,1,43,0,0,51
1,2,1,1,1,1,41,0,0,49
2,7,2,0,3,1,43,1,0,61
4,30,1,1,1,1,35,0,0,79
3,14,2,0,3,1,31,0,0,72
1,2,1,1,3,1,60,0,0,51
6,22,2,1,1,1,28,0,0,57
4,11,2,1,3,1,35,0,0,83
8,20,2,1,1,1,27,0,0,63
9,26,2,1,3,1,28,0,0,85
1,11,2,0,1,1,38,0,0,50
3,13,1,1,3,1,55,0,0,65
2,4,2,1,3,1,34,1,0,55
4,8,2,1,3,1,33,0,0,82
4,13,2,0,1,1,39,0,0,79
2,2,2,1,1,1,52,0,0,66
1,20,2,1,1,1,27,0,0,49
1,2,2,1,1,1,35,1,0,50
3,13,1,0,3,2,40,0,0,68
1,20,1,1,3,1,39,0,0,48
2,4,2,1,1,1,40,1,0,60
7,2,2,1,1,1,25,1,0,49
1,2,2,1,2,1,30,1,0,50
2,2,2,1,1,1,44,1,0,62
2,7,1,1,3,1,57,1,0,54
1,2,2,1,1,1,26,1,0,56
2,14,2,0,3,1,38,0,0,60
3,4,1,1,3,1,35,1,0,68
1,13,2,1,1,1,20,0,0,48
3,16,2,0,1,2,30,1,0,67
5,22,2,1,1,2,28,0,0,87
3,15,2,1,3,1,48,1,0,68
8,2,1,1,3,1,41,0,0,60
2,31,1,1,1,1,30,1,0,59
5,29,2,1,1,2,26,0,0,82
1,2,2,1,3,2,38,0,0,46
7,2,2,1,3,1,30,0,0,49
1,28,2,0,1,3,27,0,0,53
1,31,2,1,1,1,33,0,0,48
1,7,2,1,3,1,34,0,0,46
5,27,2,1,1,1,26,0,0,84
2,30,2,1,3,2,33,0,0,58
2,1,2,0,3,2,29,1,0,56
1,4,1,1,1,1,31,1,0,48
7,22,3,1,3,1,22,1,0,47
2,7,1,1,3,1,33,0,0,58
1,22,2,1,3,1,24,1,0,47
1,24,1,1,3,1,32,0,0,49
3,2,2,1,3,4,36,0,0,75
2,15,2,1,1,1,40,1,0,57
2,3,2,1,3,1,28,0,0,61
1,10,1,1,1,1,41,0,0,51
1,20,2,1,3,3,30,0,0,46
2,2,2,0,3,1,28,1,0,62
1,25,1,1,3,1,40,0,0,51
2,27,2,0,3,1,34,0,0,62
7,5,2,0,1,1,32,1,0,52
4,22,1,1,3,1,48,0,0,78
2,3,2,0,1,1,30,0,0,56
7,25,2,1,3,1,28,1,1,49
2,2,2,0,3,1,30,1,0,61
2,26,2,1,3,1,34,0,0,56
1,2,1,1,1,1,37,1,0,49
1,10,1,1,3,1,41,1,0,48
2,19,2,1,3,1,28,0,0,61
1,6,2,1,3,1,36,0,0,52
5,22,1,1,1,1,27,0,0,83
1,2,2,1,3,5,33,0,0,47
1,1,1,0,1,1,32,1,0,48
2,23,2,1,1,1,31,0,0,59
1,2,2,1,3,1,47,0,0,50
8,7,3,1,3,1,26,1,0,62
5,9,2,1,3,1,28,0,0,83
2,14,2,1,3,1,36,0,0,63
3,2,2,1,3,1,57,0,0,64
2,27,2,0,3,1,35,0,0,55
3,13,2,1,1,1,27,0,0,71
4,2,2,0,3,1,38,0,0,77
6,2,2,1,1,1,28,1,0,58
4,2,2,0,3,1,40,0,0,80
2,22,2,0,1,1,32,0,0,59
8,7,1,1,1,1,35,0,0,61
5,28,1,1,3,2,34,0,0,85
5,22,1,1,1,1,31,1,0,84
8,2,2,1,3,2,48,0,0,58
2,22,2,1,3,1,30,1,0,62
4,15,2,1,3,1,35,1,0,75
2,2,1,1,3,2,38,1,1,53
1,30,2,0,3,1,33,0,0,53
2,22,3,1,1,1,22,0,0,58
1,6,2,1,3,1,39,1,0,52
4,22,1,1,3,1,39,1,0,81
2,2,2,1,1,1,34,0,0,57
5,25,2,1,1,1,28,0,0,85
4,2,2,0,3,1,60,0,0,82
1,11,2,1,3,1,30,1,0,50
2,22,1,1,1,2,32,1,0,64
6,31,1,1,1,1,31,0,0,60
2,27,1,0,3,1,45,1,0,60
1,12,2,1,1,1,28,0,0,52
1,22,2,1,3,2,26,0,0,50
3,21,2,1,1,1,36,0,0,71
2,31,2,1,1,1,30,1,0,62
2,7,2,1,3,1,31,0,0,62
5,2,2,1,3,2,27,0,0,86
2,27,2,1,1,1,36,0,0,62
2,16,2,1,3,1,37,0,0,57
1,7,2,1,3,2,47,0,0,52
2,11,2,1,1,1,33,1,1,63
2,2,1,1,1,1,57,1,0,64
3,7,1,1,1,1,47,0,0,63
1,2,1,1,3,1,20,0,0,54
2,2,1,0,2,1,39,0,0,57
7,7,1,1,1,1,35,0,0,47
1,22,2,1,1,1,24,1,0,47
3,13,2,1,3,1,38,0,0,68
4,11,1,1,3,1,43,0,0,79
7,24,2,1,3,1,30,0,0,52
4,1,2,0,1,1,25,1,0,79
2,2,2,1,3,1,42,0,0,62
2,13,2,1,3,1,30,0,0,59
2,4,2,1,1,1,32,0,0,61
1,22,2,1,3,5,25,0,0,52
7,2,1,1,3,2,39,1,0,48
2,2,2,0,3,1,34,1,0,60
4,11,2,0,3,1,33,0,0,81
8,11,2,1,3,1,34,0,0,63
4,2,2,0,2,3,31,1,0,82
2,28,1,1,3,1,36,0,0,57
5,1,1,1,1,1,33,0,0,80
3,2,3,1,3,2,23,0,0,69
5,15,2,1,3,1,38,0,0,87
8,2,2,1,1,3,54,0,0,60
3,4,2,1,3,1,38,1,0,69
1,2,1,0,3,1,55,0,0,53
3,2,2,1,1,1,49,1,0,68
4,16,2,1,1,1,31,0,0,77
2,29,1,0,1,1,37,0,0,60
1,7,1,1,3,1,45,0,0,51
5,31,2,1,1,2,45,0,0,82
1,13,1,1,1,1,41,1,0,50
1,20,2,1,1,1,34,0,0,50
2,32,2,0,1,1,34,0,0,59
1,7,2,1,1,2,33,1,0,52
2,7,2,1,1,1,37,0,0,59
3,2,1,0,3,1,37,1,0,69
3,16,1,0,1,1,34,1,0,65
4,2,1,1,3,3,33,0,0,80
1,7,1,0,3,1,44,0,0,45
1,2,2,0,1,1,20,0,0,55
4,16,2,1,3,2,32,0,1,81
2,2,2,0,3,1,56,1,0,60
5,27,2,1,3,1,30,0,0,83
7,13,2,1,3,1,32,0,0,50
3,5,2,0,3,1,31,1,0,67
2,32,1,0,3,1,50,0,0,56
6,13,2,1,1,1,34,0,0,60
1,16,1,1,3,1,46,0,0,52
2,13,2,1,1,1,36,0,0,62
2,22,2,0,3,1,36,0,0,62
1,5,2,1,3,1,31,0,0,50
1,7,2,1,3,2,33,0,0,48
1,2,1,1,3,1,57,0,0,53
2,2,1,1,1,1,50,0,1,60
5,27,2,1,3,1,32,1,0,83
1,2,2,1,3,1,46,1,0,52
3,2,1,0,3,1,38,1,0,70
5,22,2,0,3,1,30,0,0,88
2,11,1,1,1,1,45,0,0,63
1,1,2,1,1,1,33,0,0,52
5,31,2,1,1,3,29,1,0,87
1,2,2,1,3,2,49,0,0,55
1,26,2,1,1,3,32,0,0,51
1,25,2,1,1,1,32,0,0,50
3,20,2,1,1,1,27,1,0,72
1,26,1,1,1,1,44,0,0,45
1,2,2,0,3,1,39,0,0,46
6,4,2,0,1,1,28,1,0,52
2,16,2,1,3,1,31,0,0,63
1,30,2,1,3,1,31,0,0,49
1,3,1,1,1,1,33,0,0,50
2,31,2,0,3,1,27,1,0,58
1,2,1,0,3,1,47,1,0,51
8,2,2,0,3,1,31,1,0,61
6,22,2,0,1,1,32,1,0,59
1,16,2,1,3,1,26,0,0,48
7,7,2,1,3,1,27,0,0,51
2,22,2,0,3,1,29,0,0,56
1,7,2,1,3,2,28,0,0,48
5,22,2,1,3,2,29,1,0,85
2,22,2,1,1,2,25,0,1,58
