department,region,education,gender,recruitment_channel,age,previous_year_rating,KPIs_met >60%,awards_won?,avg_training_score
3,15,2,1,3,40,5.0,0,0,68
3,29,2,1,3,33,2.0,0,0,70
2,2,2,2,3,50,4.0,1,0,63
6,2,2,1,3,28,5.0,0,0,62
6,2,2,1,1,25,5.0,1,0,54
1,31,2,1,3,38,3.0,0,0,49
3,2,2,2,1,57,5.0,1,0,70
1,7,2,1,3,48,3.0,0,0,48
2,7,2,2,1,27,3.0,0,0,65
4,7,1,2,1,49,3.0,0,0,81
4,28,2,1,3,27,3.0,1,0,81
4,10,2,1,3,30,3.0,0,0,78
1,2,2,2,3,40,2.0,0,0,51
1,29,1,1,1,36,5.0,0,0,48
4,11,2,1,1,30,4.0,1,0,76
4,31,2,1,1,26,3.0,0,0,82
1,15,1,1,3,44,3.0,0,0,50
1,30,2,1,1,41,3.0,0,0,49
1,17,2,1,1,31,5.0,0,0,46
1,31,2,2,3,25,3.0,0,0,49
2,32,2,1,1,28,1.0,0,0,60
5,7,1,1,1,35,2.0,1,0,84
2,34,2,1,3,32,5.0,0,0,60
2,2,1,2,3,58,3.0,0,0,64
2,22,2,1,2,34,5.0,1,0,61
5,31,2,1,3,27,4.0,0,0,85
2,12,1,1,3,44,5.0,1,0,66
1,7,2,2,3,32,3.0,0,0,52
3,10,1,2,3,31,4.0,1,0,68
5,22,2,1,3,35,4.0,0,0,82
2,4,1,1,1,44,5.0,1,0,57
5,25,2,1,3,25,3.0,0,0,85
6,7,2,1,1,35,2.0,0,0,60
4,15,2,1,3,36,4.0,0,0,82
8,2,2,1,1,33,3.0,0,0,55
3,23,2,1,1,27,3.0,0,0,69
7,2,2,2,3,34,4.0,1,0,49
1,11,2,1,3,30,5.0,1,0,49
2,2,2,2,3,58,5.0,1,0,60
1,6,2,2,3,38,2.0,0,0,47
6,22,2,2,3,26,5.0,1,0,58
1,2,2,1,1,31,5.0,0,0,53
1,13,2,1,3,39,5.0,0,0,51
4,11,1,1,3,32,3.0,0,0,80
2,4,2,1,3,32,4.0,1,0,61
3,2,2,2,1,44,3.0,0,0,71
1,23,1,1,3,41,3.0,0,0,51
1,8,2,1,3,37,5.0,1,0,50
9,22,2,1,3,32,5.0,1,0,81
3,17,2,2,3,48,4.0,0,0,70
5,22,2,2,1,27,5.0,1,0,87
5,22,2,1,3,30,4.0,0,0,85
1,32,2,1,1,28,4.0,1,0,49
1,2,2,1,1,33,5.0,1,0,50
7,31,2,1,1,27,5.0,0,0,47
5,2,2,1,1,27,1.0,1,0,83
1,4,2,1,3,28,3.0,0,0,49
1,22,1,1,3,29,3.0,0,0,44
1,31,1,1,1,25,3.0,0,0,49
1,2,2,1,3,59,5.0,0,0,49
3,22,1,2,1,38,4.0,1,0,72
2,17,1,2,1,33,5.0,0,0,61
3,31,2,2,1,28,5.0,0,0,72
2,15,2,2,1,34,2.0,0,0,58
3,17,2,1,3,41,2.0,0,0,73
1,7,2,1,3,28,4.0,0,0,51
1,7,2,1,1,46,5.0,1,0,46
1,16,2,1,3,49,1.0,0,0,47
5,22,2,1,3,28,4.0,0,0,84
5,26,2,1,3,27,5.0,1,0,85
3,2,3,2,3,25,3.0,0,0,65
6,30,2,2,1,26,3.0,0,0,56
2,20,2,1,1,27,5.0,0,0,67
7,15,2,1,1,39,3.0,0,0,49
1,16,1,1,3,48,1.0,0,0,49
2,2,2,1,1,30,3.0,0,0,55
6,4,1,1,3,43,3.0,1,0,59
3,13,2,2,1,33,3.0,1,0,69
5,26,2,1,1,36,5.0,1,0,87
1,28,2,1,3,30,3.0,0,0,49
1,15,2,1,3,36,2.0,0,0,52
4,33,2,2,1,34,1.0,0,0,77
2,4,2,1,3,29,5.0,0,0,55
6,22,1,2,3,32,5.0,0,0,61
3,2,2,2,3,30,3.0,0,0,66
2,2,2,1,1,39,3.0,0,0,57
2,2,1,2,1,32,3.0,0,0,60
2,22,1,1,3,38,4.0,0,0,63
2,11,2,2,1,29,2.0,0,0,61
1,28,2,1,3,34,2.0,1,0,46
3,2,1,2,3,32,5.0,1,0,68
9,22,2,1,1,29,4.0,0,0,83
5,25,1,1,3,33,3.0,0,0,83
1,4,2,1,3,30,3.0,0,0,48
2,9,2,1,3,27,3.0,0,0,63
1,2,1,2,3,47,4.0,1,0,51
1,13,2,1,3,32,3.0,0,0,47
4,22,2,1,2,33,3.0,0,0,80
5,21,2,1,1,31,5.0,1,0,82
2,2,2,1,3,36,3.0,1,0,67
1,27,2,1,3,36,1.0,0,0,52
1,22,1,1,1,39,1.0,0,0,45
1,28,2,1,3,36,4.0,1,0,47
2,22,1,1,1,31,1.0,1,0,63
1,28,1,1,1,31,5.0,0,0,52
1,2,2,2,3,22,3.0,1,1,47
2,9,2,1,1,29,3.0,1,0,60
2,2,1,1,1,33,5.0,0,0,62
7,7,2,2,3,29,2.0,0,0,48
1,7,2,2,3,25,4.0,0,0,47
2,7,2,1,1,34,1.0,0,0,57
5,15,1,1,3,30,3.0,0,0,85
2,5,2,2,3,31,4.0,0,0,60
1,31,2,2,3,31,4.0,0,0,49
2,27,2,2,3,27,3.0,1,0,60
4,9,2,1,3,27,3.0,0,0,77
5,29,2,1,3,37,4.0,1,0,82
2,11,1,2,3,46,3.0,0,0,62
4,13,1,2,3,41,4.0,1,0,81
3,2,2,1,2,32,3.0,0,0,68
7,2,2,1,3,35,3.0,0,0,46
1,2,1,2,3,37,2.0,0,0,53
1,9,1,1,3,30,2.0,0,0,58
9,11,1,1,3,38,1.0,0,0,81
1,23,2,1,3,37,3.0,0,0,46
4,13,1,1,3,59,3.0,0,0,78
7,2,2,2,3,27,3.0,0,0,50
3,26,3,1,3,25,5.0,1,0,69
4,13,1,1,1,35,1.0,0,0,81
2,8,1,2,1,36,3.0,0,0,59
2,22,2,1,1,28,5.0,1,0,55
2,22,2,1,3,33,3.0,0,0,61
1,30,2,1,1,28,3.0,1,0,51
1,13,2,1,1,53,3.0,0,0,51
7,7,1,2,3,50,5.0,0,0,51
7,16,1,1,1,36,5.0,1,0,51
2,22,2,1,3,22,5.0,0,0,59
4,13,2,2,1,37,3.0,0,0,82
1,19,2,1,3,34,2.0,0,0,48
2,4,1,1,3,35,5.0,1,0,59
2,2,1,2,3,57,5.0,1,0,56
1,24,2,1,3,35,1.0,0,0,48
5,27,2,1,1,31,3.0,0,0,85
3,21,2,1,1,28,3.0,1,0,68
1,26,2,1,1,30,5.0,1,0,52
3,26,2,1,3,24,5.0,0,0,73
7,2,1,1,1,41,3.0,0,0,47
3,22,1,2,3,41,2.0,0,0,70
4,4,2,1,3,32,5.0,1,0,80
2,21,1,1,1,43,5.0,0,0,59
7,2,1,2,3,53,3.0,0,0,49
5,2,2,1,3,56,4.0,0,0,85
3,2,1,1,1,59,5.0,1,0,66
6,7,2,1,3,36,4.0,0,1,60
7,7,2,2,1,33,4.0,0,0,49
1,28,1,1,3,34,2.0,0,0,50
4,2,3,1,3,21,4.0,0,0,82
2,7,1,1,3,36,4.0,1,0,59
2,16,2,2,1,44,3.0,0,0,61
7,13,2,2,3,24,5.0,0,0,43
3,2,2,2,2,35,3.0,0,0,67
7,26,2,1,1,28,3.0,0,0,49
1,15,2,1,1,37,3.0,0,0,49
1,4,1,2,3,40,1.0,0,0,48
2,13,1,2,1,38,5.0,1,0,59
4,13,2,2,1,31,4.0,0,0,81
1,1,1,2,1,36,2.0,0,0,51
4,2,1,1,3,46,3.0,0,0,82
2,22,2,1,3,43,4.0,1,0,55
1,7,1,1,1,33,3.0,0,0,53
4,2,1,1,3,56,3.0,0,0,83
5,22,2,1,3,30,1.0,1,0,83
1,2,2,1,3,32,5.0,0,0,47
1,22,2,2,1,34,4.0,0,0,46
1,5,2,1,1,27,3.0,0,0,53
3,7,1,1,3,35,2.0,0,0,66
7,7,1,1,3,41,4.0,0,0,58
3,10,2,1,1,29,3.0,0,0,74
1,13,1,1,1,32,3.0,1,0,49
5,3,2,1,3,29,2.0,0,0,84
3,2,2,1,3,45,3.0,0,0,68
3,7,1,2,1,31,3.0,0,0,69
1,15,2,1,3,43,5.0,0,0,50
3,15,2,1,3,33,3.0,0,0,70
6,2,1,1,1,59,4.0,0,0,65
2,2,2,1,3,47,3.0,1,0,56
2,1,2,1,3,26,4.0,1,0,60
7,22,1,1,3,32,4.0,0,0,46
2,7,2,1,3,30,4.0,1,0,56
3,25,2,2,1,31,3.0,0,0,67
2,15,1,1,1,32,3.0,0,0,61
6,2,2,2,1,26,2.0,0,0,61
4,13,2,2,3,30,4.0,1,0,81
7,16,2,1,1,31,5.0,0,0,47
3,10,1,1,3,38,4.0,1,0,65
2,5,2,2,3,32,4.0,0,0,58
1,7,2,1,1,34,4.0,0,0,52
3,22,2,1,3,27,5.0,0,0,68
2,2,1,1,3,32,5.0,0,0,62
4,26,1,1,1,51,3.0,0,0,78
1,20,1,1,3,36,2.0,0,0,45
3,2,2,1,3,33,4.0,0,0,70
3,6,2,2,3,34,2.0,0,0,71
1,2,1,2,3,60,2.0,0,0,43
6,32,2,1,1,37,3.0,0,0,59
1,28,1,1,1,41,4.0,0,0,51
4,2,2,1,2,34,2.0,1,0,78
1,28,2,1,3,26,2.0,0,0,54
7,22,1,1,1,48,3.0,0,0,45
3,17,2,2,1,33,3.0,1,0,68
3,30,2,1,3,34,2.0,1,0,67
1,13,2,1,3,58,4.0,0,0,52
4,26,2,2,3,27,5.0,1,0,81
5,25,2,1,3,31,4.0,1,0,84
3,2,1,1,3,56,1.0,0,0,70
1,2,2,1,3,47,3.0,0,0,48
8,27,2,1,3,32,3.0,0,0,57
1,24,2,1,3,31,3.0,0,0,47
1,7,1,2,3,47,3.0,0,0,50
2,31,2,1,3,30,5.0,1,0,57
2,10,2,1,3,33,4.0,0,0,57
1,2,1,1,3,39,3.0,1,0,45
1,7,2,1,1,32,1.0,0,0,44
6,2,2,1,3,30,1.0,0,0,61
2,22,2,1,2,29,5.0,1,0,59
3,19,2,1,3,34,4.0,0,0,77
5,22,2,1,2,32,5.0,1,0,85
3,2,2,1,3,43,2.0,0,0,68
6,2,2,1,1,31,5.0,0,0,61
4,23,1,1,1,35,5.0,1,0,78
4,26,2,1,3,40,4.0,0,0,78
2,22,2,1,3,25,1.0,0,0,56
6,7,2,1,3,32,4.0,0,0,57
2,2,2,1,1,33,5.0,0,0,61
1,8,2,1,1,32,4.0,0,0,51
2,13,2,1,3,30,5.0,1,0,56
5,2,2,1,3,31,3.0,0,0,84
3,13,2,2,1,38,2.0,0,0,68
1,17,2,1,3,33,1.0,0,0,46
6,12,2,1,3,28,4.0,0,0,56
2,20,1,2,1,38,4.0,1,0,60
2,21,1,1,3,33,5.0,1,0,54
3,26,1,1,3,42,3.0,0,0,73
4,24,2,1,1,31,1.0,0,0,84
1,22,2,1,1,29,1.0,0,0,50
3,27,2,2,3,37,4.0,1,0,68
8,13,2,1,3,29,4.0,0,0,61
4,2,2,1,3,32,2.0,0,0,80
2,28,2,2,1,28,3.0,0,0,58
1,2,2,1,1,34,3.0,0,0,48
4,2,1,2,3,46,3.0,1,0,79
3,22,1,2,3,32,4.0,0,0,69
3,7,1,1,3,37,3.0,1,0,70
1,22,1,1,1,31,4.0,1,0,49
4,20,1,2,3,37,4.0,0,0,74
3,22,2,1,3,29,2.0,0,0,72
3,2,1,2,3,56,3.0,1,0,65
1,26,2,1,3,29,3.0,1,0,48
7,2,1,2,3,59,2.0,1,0,49
3,10,2,1,3,32,5.0,1,0,70
2,4,1,1,3,40,5.0,1,0,60
1,7,1,2,1,44,2.0,0,0,48
4,1,1,2,1,30,3.0,0,0,82
6,22,2,2,1,32,5.0,1,0,59
4,2,2,2,3,42,4.0,1,0,78
2,22,1,1,3,30,3.0,0,0,60
2,15,2,1,3,33,5.0,1,0,62
2,20,1,1,1,37,3.0,0,0,60
7,32,2,1,3,30,5.0,1,0,51
6,8,2,1,3,30,3.0,0,0,60
2,24,3,2,1,24,3.0,0,0,64
3,2,2,1,3,38,5.0,1,0,67
6,31,2,1,1,27,2.0,0,0,62
4,2,1,1,1,56,3.0,0,0,78
1,2,1,2,1,45,2.0,0,0,51
3,7,1,1,1,49,5.0,1,0,70
1,13,1,2,1,41,1.0,0,0,54
3,7,1,2,3,32,2.0,0,0,68
2,22,1,1,3,60,5.0,1,1,60
1,7,2,1,1,46,1.0,0,0,53
2,15,2,1,2,34,5.0,1,0,62
1,22,2,1,1,26,5.0,0,0,48
1,12,2,1,1,29,3.0,0,0,49
5,2,2,1,3,37,4.0,0,0,87
1,5,2,2,3,27,1.0,0,0,53
2,2,2,2,3,31,4.0,0,0,61
1,6,2,1,1,37,2.0,0,0,47
9,22,2,1,3,32,5.0,0,0,85
4,31,2,1,1,32,1.0,0,0,82
6,26,2,1,3,25,3.0,0,0,58
3,7,2,2,3,29,4.0,0,0,71
1,25,2,1,3,38,3.0,0,0,49
6,2,2,1,1,46,3.0,0,0,63
1,9,2,1,3,26,4.0,0,0,47
3,2,1,1,3,36,5.0,1,0,71
1,31,1,1,1,32,3.0,0,0,52
5,22,2,1,3,29,2.0,1,0,85
4,19,2,1,3,31,3.0,0,0,81
2,22,2,2,3,29,3.0,1,0,58
3,2,1,1,3,54,3.0,0,0,74
2,32,2,2,3,32,4.0,1,0,62
1,23,1,2,1,36,3.0,0,0,49
2,22,1,1,3,34,5.0,0,0,61
7,2,2,2,1,27,3.0,1,0,50
5,29,2,2,1,27,4.0,1,0,77
2,15,2,2,1,35,3.0,0,0,57
1,29,2,1,1,29,2.0,0,0,51
1,2,1,2,3,43,3.0,0,0,49
4,15,2,1,1,29,4.0,1,0,79
3,15,2,2,3,30,3.0,1,0,66
5,25,2,1,3,25,5.0,0,0,83
2,2,1,1,1,36,4.0,0,0,55
2,15,2,2,3,51,5.0,1,0,59
5,28,1,1,3,32,4.0,1,0,88
1,4,1,1,3,50,1.0,0,0,50
1,2,1,2,3,40,3.0,0,0,51
4,7,2,2,3,31,3.0,0,0,76
4,7,2,1,3,35,3.0,0,0,81
2,2,2,1,2,35,1.0,1,0,59
4,17,2,1,3,30,2.0,0,0,79
4,2,3,2,3,25,3.0,0,0,84
5,29,2,1,1,26,3.0,0,0,89
6,15,2,2,1,32,4.0,0,0,58
6,28,2,2,3,25,5.0,0,0,62
1,25,2,1,3,27,4.0,1,0,49
3,31,2,1,1,37,5.0,1,0,73
1,32,2,1,3,43,4.0,0,0,52
1,2,1,2,1,43,5.0,1,0,44
2,19,2,2,3,29,4.0,0,0,58
1,15,2,1,3,27,3.0,1,0,51
5,13,1,1,3,34,3.0,0,0,81
4,17,2,2,1,26,4.0,1,0,81
5,28,1,1,3,34,5.0,1,0,82
5,22,2,2,1,29,2.0,0,0,89
5,29,2,2,3,28,5.0,1,0,83
3,31,1,2,3,37,5.0,1,0,65
2,3,1,1,1,37,2.0,0,0,58
4,28,2,2,3,28,2.0,0,0,80
6,29,2,1,3,36,3.0,0,0,65
6,2,2,1,3,53,5.0,0,0,62
6,15,2,1,3,32,5.0,1,0,60
2,32,2,1,1,32,1.0,0,0,62
5,22,2,1,1,29,3.0,0,0,87
3,2,2,2,3,24,2.0,0,0,68
1,2,2,1,3,40,3.0,0,0,47
7,2,3,1,2,22,2.0,1,0,48
3,4,1,1,3,37,5.0,1,0,68
7,26,2,1,1,27,4.0,1,0,55
2,29,1,1,3,34,3.0,1,0,62
1,7,1,2,3,43,1.0,0,0,51
3,22,1,2,3,33,4.0,1,0,71
1,13,1,1,1,32,1.0,0,0,47
1,7,1,1,1,42,3.0,0,0,51
1,14,2,1,3,37,4.0,0,0,44
1,20,2,1,1,41,3.0,0,0,49
1,26,2,1,1,27,2.0,0,0,53
4,2,2,1,2,38,5.0,1,0,76
2,31,1,1,1,38,4.0,0,0,57
1,12,2,1,3,27,3.0,0,0,52
4,10,2,1,3,31,4.0,1,0,84
4,2,2,1,1,31,3.0,0,0,76
2,26,2,1,3,36,3.0,0,0,54
2,16,2,1,3,32,3.0,0,0,57
3,2,1,1,3,53,3.0,0,0,67
1,28,2,1,1,32,5.0,1,0,50
1,1,2,1,3,28,1.0,1,0,48
5,31,2,1,1,31,3.0,0,0,79
5,28,1,1,1,33,5.0,0,0,87
7,7,2,1,3,26,3.0,0,0,51
4,8,1,1,3,39,1.0,0,0,77
1,31,2,1,1,33,3.0,0,0,49
2,31,2,2,3,28,5.0,1,0,60
1,2,2,1,1,26,5.0,0,0,48
3,7,2,1,1,32,4.0,1,0,66
3,2,1,1,1,43,5.0,0,0,73
1,7,2,1,3,31,5.0,1,0,48
1,6,2,2,3,30,3.0,0,0,41
1,15,2,1,1,40,5.0,1,0,51
2,7,2,2,3,32,3.0,0,0,59
2,13,2,2,1,34,5.0,0,0,63
1,20,1,1,3,41,4.0,0,0,49
3,22,2,1,3,34,1.0,0,0,65
1,1,2,1,1,28,3.0,0,0,56
2,31,1,1,3,55,4.0,0,0,59
4,7,2,2,3,28,1.0,0,0,81
1,10,1,1,3,53,4.0,1,0,50
2,19,2,1,3,33,2.0,0,0,57
5,28,2,1,3,38,4.0,1,0,85
3,27,2,2,1,32,5.0,1,0,72
1,26,2,1,3,37,2.0,0,0,49
5,22,2,1,1,28,5.0,1,0,86
1,22,2,1,3,32,1.0,0,0,46
3,7,1,2,3,39,3.0,0,0,69
2,31,2,1,1,37,3.0,0,0,63
2,2,2,1,2,37,3.0,1,0,59
7,31,2,1,1,24,5.0,0,0,54
2,15,1,1,1,41,3.0,0,0,54
3,2,1,2,2,33,5.0,1,0,74
1,7,2,2,1,27,5.0,1,0,45
1,7,2,1,1,31,5.0,0,0,51
2,16,2,1,1,35,3.0,0,0,61
2,2,2,2,3,30,4.0,0,0,60
7,20,1,2,3,35,3.0,0,0,51
4,15,1,1,3,41,3.0,0,0,81
4,2,1,2,1,39,3.0,0,0,78
1,27,2,1,3,28,4.0,0,0,48
4,22,2,2,1,26,4.0,0,0,81
3,31,2,1,3,28,2.0,0,0,75
2,2,1,2,1,50,5.0,1,0,56
2,2,2,2,1,55,3.0,0,0,59
7,14,2,1,3,37,3.0,0,0,48
2,13,2,2,1,31,2.0,1,0,59
2,2,2,1,3,27,4.0,0,0,65
1,2,1,2,1,42,2.0,0,0,56
1,31,1,1,3,24,3.0,0,0,44
1,27,2,1,1,37,3.0,0,0,51
1,15,1,1,3,41,3.0,0,0,50
8,22,2,1,2,30,3.0,1,0,61
1,7,2,1,1,30,5.0,0,0,49
3,7,1,1,3,38,4.0,0,0,66
2,22,2,2,3,31,4.0,0,0,64
5,22,2,2,3,29,1.0,0,0,81
1,5,1,1,1,48,1.0,0,0,45
1,9,1,2,1,32,2.0,0,0,53
1,22,2,1,3,29,3.0,1,0,57
1,2,1,1,1,40,1.0,0,0,48
1,10,1,2,3,36,1.0,0,0,49
6,8,1,1,3,33,3.0,1,0,63
2,23,2,1,1,38,5.0,0,0,59
4,10,2,1,3,30,3.0,0,0,80
4,4,1,2,3,42,1.0,0,0,78
1,30,2,1,3,33,5.0,0,0,48
1,31,1,2,1,34,1.0,0,0,50
5,2,1,1,3,39,5.0,1,0,85
4,2,1,1,3,39,1.0,0,0,79
5,9,1,1,1,29,5.0,1,0,84
5,2,1,1,3,54,3.0,0,0,86
2,15,1,1,2,47,4.0,1,0,57
1,22,1,1,3,30,2.0,1,1,53
2,15,2,1,1,26,4.0,1,0,61
4,2,2,1,3,51,3.0,0,0,76
2,2,2,1,1,32,3.0,0,0,57
2,21,2,1,1,26,3.0,0,0,59
3,29,1,2,1,32,1.0,0,0,70
1,2,2,2,1,27,3.0,0,0,51
1,32,2,1,3,35,3.0,0,0,46
6,32,2,1,3,37,3.0,0,0,59
5,32,2,1,1,29,3.0,0,0,89
2,15,2,2,1,31,4.0,0,0,59
2,2,2,2,3,33,4.0,0,0,60
4,8,2,1,1,31,3.0,0,0,81
3,2,1,2,1,58,3.0,0,0,70
3,26,2,1,3,42,4.0,0,0,65
3,8,2,2,3,29,3.0,0,0,66
3,31,2,1,3,36,3.0,0,0,71
4,14,2,2,3,37,4.0,0,0,81
2,2,2,2,1,33,1.0,0,0,60
9,12,2,1,3,30,3.0,1,1,86
2,13,1,2,1,41,5.0,1,0,64
4,27,1,2,1,36,4.0,1,0,79
2,2,1,1,3,40,4.0,0,0,57
2,13,2,1,3,33,5.0,1,0,58
1,2,2,1,3,30,3.0,0,0,54
8,7,2,1,1,31,3.0,0,0,58
4,7,2,1,3,32,3.0,0,0,81
2,7,2,1,3,26,5.0,1,0,59
1,1,1,1,3,34,4.0,0,0,50
5,22,2,1,1,29,1.0,0,0,86
5,31,2,1,3,34,3.0,0,0,80
1,2,2,2,3,39,1.0,0,0,49
2,7,2,1,1,34,3.0,0,0,62
3,2,1,1,3,58,3.0,0,0,72
5,2,1,1,1,48,3.0,0,0,81
2,2,2,2,3,48,5.0,1,0,60
1,7,2,2,3,29,3.0,0,0,48
1,7,2,2,1,35,1.0,0,0,48
7,8,2,1,3,29,4.0,0,0,49
7,16,3,2,3,25,5.0,1,0,51
1,2,2,2,1,28,1.0,0,0,47
2,26,1,1,1,48,5.0,1,0,62
